"Book Report 2 (R1) "," Number of Successful Section Requests by Month and Title "
"MPI WG"
Date run:
"2010-01-06"
"","Publisher","Platform","ISBN","ISSN","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009","YTD Total"
"Pharmacology_Toxicology Drug Metabolism and Transport: Molecular Methods and Mechanisms","Humana Press","SpringerProtocols","978-1-58829-324-4","",0,1,0,0,0,14,0,0,0,0,0,0,15
"Pharmacology_Toxicology Drug Targeting: Strategies, Principles, and Applications","Humana Press","SpringerProtocols","978-0-89603-531-7","",0,1,0,0,0,15,0,0,0,0,0,0,16
"Pharmacology_Toxicology Drug-DNA Interaction Protocols - 1","Humana Press","SpringerProtocols","978-1-60327-417-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pharmacology_Toxicology Drugs of Abuse: Neurological Reviews and Protocols","Humana Press","SpringerProtocols","978-1-58829-057-1","",0,4,0,0,1,35,0,0,0,0,1,0,41
"Pharmacology_Toxicology Essential Concepts in Toxicogenomics","Humana Press","SpringerProtocols","978-1-58829-638-2","",0,0,0,0,13,1,0,0,0,0,1,0,15
"Pharmacology_Toxicology G Protein-Coupled Receptors in Drug Discovery","Humana Press","SpringerProtocols","978-1-60327-316-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pharmacology_Toxicology Immunotoxicity Testing: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-400-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pharmacology_Toxicology In Vitro Neurotoxicology: Principles and Challenges","Humana Press","SpringerProtocols","978-1-58829-047-2","",0,1,0,0,0,12,0,0,0,0,0,0,13
"Pharmacology_Toxicology In Vitro Toxicity Testing Protocols","Humana Press","SpringerProtocols","978-0-89603-282-8","",1,1,0,0,35,1,1,0,1,2,2,0,44
"Pharmacology_Toxicology Macromolecular Drug Delivery: Methods and Protocols","Humana Press","SpringerProtocols","","",0,4,1,2,17,2,2,2,0,3,0,0,33
"Pharmacology_Toxicology Marijuana and Cannabinoid Research: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-350-3","",0,0,0,0,0,17,0,0,2,0,0,0,19
"Pharmacology_Toxicology Metal Carcinogenesis Testing: Principles and in Vitro Methods","Humana Press","SpringerProtocols","978-0-89603-017-6","",0,0,0,0,0,8,0,0,0,0,0,0,8
"Pharmacology_Toxicology Molecular Toxicology Protocols","Humana Press","SpringerProtocols","978-1-58829-084-7","",1,1,0,0,37,0,0,0,0,1,1,1,42
"Pharmacology_Toxicology Mouse Models for Drug Discovery: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-057-1","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pharmacology_Toxicology Mycotoxin Protocols","Humana Press","SpringerProtocols","978-0-89603-623-9","",0,0,0,0,19,0,0,0,0,0,0,0,19
"Pharmacology_Toxicology Opioid Research: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-059-5","",0,0,1,0,0,21,0,0,0,0,1,1,24
"Pharmacology_Toxicology Optimization in Drug Discovery: In Vitro Methods","Humana Press","SpringerProtocols","978-1-58829-332-9","",0,0,0,1,0,28,1,3,1,0,1,0,35
"Pharmacology_Toxicology Pharmacogenomics and Personalized Medicine","Humana Press","SpringerProtocols","978-1-934115-04-6","",0,0,0,0,1,21,0,0,0,0,0,0,22
"Pharmacology_Toxicology Pharmacogenomics in Drug Discovery and Development: From Bench to Bedside","Humana Press","SpringerProtocols","978-1-58829-887-4","",0,0,0,1,17,0,0,0,0,0,0,0,18
"Pharmacology_Toxicology Pharmacogenomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-440-1","",0,1,0,1,14,0,0,0,0,0,0,0,16
"Pharmacology_Toxicology Protocols for In Vitro Cultures and Secondary Metabolite Analysis of Aromatic and Medicinal Plants","Humana Press","SpringerProtocols","978-1-60327-286-5","",0,0,0,0,0,0,0,0,1,0,0,0,1
"Pharmacology_Toxicology Receptor Binding Techniques - 2","Humana Press","SpringerProtocols","978-0-89603-530-0","",0,0,0,0,14,0,0,0,0,0,0,0,14
"Pharmacology_Toxicology Target Discovery and Validation Reviews and Protocols: Volume 1, Emerging Strategies for Targets and Biomarker Discovery","Humana Press","SpringerProtocols","978-1-58829-656-6","",0,1,0,0,17,1,0,0,0,2,1,0,22
"Pharmacology_Toxicology Target Discovery and Validation Reviews and Protocols: Volume 2: Emerging Molecular Targets and Treatment Options","Humana Press","SpringerProtocols","978-1-58829-890-4","",0,0,0,0,17,0,1,0,0,1,1,0,20
"Plant Sciences Agrobacterium Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-302-3","",2,3,1,3,0,1,0,1,1,2,0,0,14
"Plant Sciences Agrobacterium Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-536-1","",3,1,2,42,2,3,2,0,1,0,2,1,59
"Plant Sciences Agrobacterium Protocols Volume 2","Humana Press","SpringerProtocols","978-1-58829-843-0","",1,0,0,43,0,0,0,0,1,1,0,0,46
"Plant Sciences Arabidopsis Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-391-7","",1,1,8,0,0,1,1,4,0,3,1,1,21
"Plant Sciences Arabidopsis Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-395-4","",4,8,11,12,7,3,3,5,1,10,2,4,70
"Plant Sciences Biopesticides: Use and Delivery","Humana Press","SpringerProtocols","978-0-89603-515-7","",0,0,0,0,0,31,0,0,0,0,0,0,31
"Plant Sciences Heme, Chlorophyll, and Bilins: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-111-0","",3,0,0,0,1,15,8,0,0,0,0,0,27
"Plant Sciences Photosynthesis Research Protocols","Humana Press","SpringerProtocols","978-1-58829-232-2","",1,3,2,3,1,0,2,3,2,1,2,3,23
"Plant Sciences Plant Bioinformatics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-653-5","",2,0,0,27,0,1,1,4,0,0,1,2,38
"Plant Sciences Plant Cell Culture Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-549-2","",1,0,39,0,0,0,1,0,2,0,2,1,46
"Plant Sciences Plant Cell Culture Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-547-7","",1,4,3,1,3,0,0,0,0,3,0,0,15
"Plant Sciences Plant Cell Electroporation and Electrofusion Protocols","Humana Press","SpringerProtocols","978-0-89603-328-3","",0,3,0,0,0,0,0,0,0,0,1,0,4
"Plant Sciences Plant Cell and Tissue Culture","Humana Press","SpringerProtocols","978-0-89603-161-6","",1,0,0,4,1,1,0,0,1,0,0,0,8
"Plant Sciences Plant Embryogenesis","Humana Press","SpringerProtocols","978-1-58829-931-4","",0,2,0,1,1,0,2,3,0,0,1,0,10
"Plant Sciences Plant Functional Genomics","Humana Press","SpringerProtocols","978-1-58829-145-5","",0,3,0,0,0,0,1,4,1,1,0,0,10
"Plant Sciences Plant Gene Transfer and Expression Protocols","Humana Press","SpringerProtocols","978-0-89603-321-4","",0,10,4,4,0,4,2,0,0,1,0,0,25
"Plant Sciences Plant Genomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-997-0","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plant Sciences Plant Hormone Protocols","Humana Press","SpringerProtocols","978-0-89603-577-5","",0,4,1,0,0,0,0,0,0,0,0,1,6
"Plant Sciences Plant Hormones: Methods and Protocols","Humana Press","SpringerProtocols","","",0,1,1,3,0,0,0,0,0,0,0,0,5
"Plant Sciences Plant MicroRNAs: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-004-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plant Sciences Plant Pathology: Techniques and Protocols","Humana Press","SpringerProtocols","978-1-58829-799-0","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plant Sciences Plant Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-635-1","",2,12,8,37,4,4,8,5,3,2,0,1,86
"Plant Sciences Plant Secondary Metabolites","Humana Press","SpringerProtocols","978-1-58829-993-2","",0,5,24,0,0,2,2,0,1,4,0,1,39
"Plant Sciences Plant Signal Transduction: Methods and Protocols","Humana Press","SpringerProtocols","","",0,5,3,6,1,5,3,7,2,3,0,0,35
"Plant Sciences Plant Systems Biology","Humana Press","SpringerProtocols","978-1-60327-562-0","",0,0,0,0,0,0,0,0,1,3,0,0,4
"Plant Sciences Plant Virology Protocols: From Viral Sequence to Protein Function","Humana Press","SpringerProtocols","978-1-58829-827-0","",1,1,3,4,3,4,0,5,0,4,0,0,25
"Plant Sciences Plant Virology Protocols: From Virus Isolation to Transgenic Resistance","Humana Press","SpringerProtocols","978-0-89603-385-6","",0,1,4,0,0,0,2,0,3,0,0,0,10
"Plant Sciences Plant-Pathogen Interactions: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-448-7","",3,1,3,0,0,0,1,1,0,2,2,0,13
"Plant Sciences Recombinant Proteins From Plants: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-978-9","",0,0,1,6,1,0,2,4,0,0,1,0,15
"Plant Sciences Recombinant Proteins from Plants: Production and Isolation of Clinically Useful Compounds","Humana Press","SpringerProtocols","978-0-89603-390-0","",0,2,1,1,0,20,1,0,0,1,2,0,28
"Plant Sciences Transgenic Maize: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-49-7","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plant Sciences Transgenic Plants: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-263-6","",15,1,2,4,5,5,3,3,0,0,1,1,40
"Protein Science 2D PAGE: Sample Preparation and Fractionation - 1","Humana Press","SpringerProtocols","978-1-60327-209-4","",2,2,7,1,25,0,2,1,0,31,1,2,74
"Protein Science Adhesion Protein Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-533-0","",1,2,2,0,0,15,0,1,0,18,5,0,44
"Protein Science Amyloid Proteins: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-337-4","",9,1,1,0,5,28,1,0,0,0,0,0,45
"Protein Science Basic Protein and Peptide Protocols","Humana Press","SpringerProtocols","978-0-89603-268-2","",1,3,0,1,2,49,3,0,0,0,1,0,60
"Protein Science Calcium-Binding Protein Protocols: Volume 1: Reviews and Case Studies","Humana Press","SpringerProtocols","978-0-89603-688-8","",0,1,0,0,0,22,1,3,0,0,1,1,29
"Protein Science Calcium-Binding Protein Protocols: Volume 2: Methods and Techniques","Humana Press","SpringerProtocols","978-0-89603-689-5","",3,2,2,0,1,30,4,3,4,0,0,0,49
"Protein Science Chaperonin Protocols","Humana Press","SpringerProtocols","978-0-89603-739-7","",0,0,1,0,1,22,1,1,0,1,0,0,27
"Protein Science Characterization of Proteins","Humana Press","SpringerProtocols","978-0-89603-109-8","",0,0,0,0,2,20,0,2,1,0,0,0,25
"Protein Science Combinatorial Peptide Library Protocols","Humana Press","SpringerProtocols","978-0-89603-392-4","",0,0,0,1,1,27,0,0,0,0,0,0,29
"Protein Science Connexin Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-658-1","",1,0,0,0,0,27,0,0,0,1,0,0,29
"Protein Science Downstream Processing of Proteins: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-564-5","",0,1,0,0,0,16,0,0,7,0,0,0,24
"Protein Science Enzyme and Microbial Biosensors: Techniques and Protocols","Humana Press","SpringerProtocols","978-0-89603-410-5","",0,0,0,0,0,19,1,0,0,0,0,0,20
"Protein Science Enzymes in Nonaqueous Solvents: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-929-2","",0,0,0,0,1,50,0,1,1,0,2,0,55
"Protein Science Exocytosis and Endocytosis","Humana Press","SpringerProtocols","978-1-58829-865-2","",1,13,1,2,8,31,1,1,32,1,4,3,98
"Protein Science Flavoprotein Protocols","Humana Press","SpringerProtocols","978-0-89603-734-2","",0,1,3,0,1,17,1,0,0,0,0,0,23
"Protein Science Flow Cytometry Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-234-6","",0,3,0,8,0,25,0,2,1,0,1,2,42
"Protein Science G Protein Signaling: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-137-0","",0,0,0,0,0,22,0,0,0,0,1,3,26
"Protein Science Glycomics: Methods and Protocols","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,5,1,2,0,0,0,8
"Protein Science Glycoprotein Analysis in Biomedicine","Humana Press","SpringerProtocols","978-0-89603-226-2","",0,2,0,0,0,45,0,0,0,0,0,0,47
"Protein Science Glycoprotein Methods and Protocols: The Mucins","Humana Press","SpringerProtocols","978-0-89603-720-5","",0,15,0,0,2,42,0,0,0,0,0,0,59
"Protein Science Green Fluorescent Protein: Applications and Protocols","Humana Press","SpringerProtocols","978-0-89603-905-6","",2,0,1,1,2,29,2,0,0,0,0,0,37
"Protein Science HPLC of Peptides and Proteins: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-977-3","",0,4,1,28,0,27,1,3,0,2,9,2,77
"Protein Science High Throughput Protein Expression and Purification","Humana Press","SpringerProtocols","978-1-58829-879-9","",20,6,30,8,3,25,2,2,4,6,1,3,110
"Protein Science Integrin Protocols","Humana Press","SpringerProtocols","978-0-89603-569-0","",0,2,1,1,1,18,0,2,0,18,0,0,43
"Protein Science Ion Channel Localization: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-833-2","",0,1,0,0,0,26,0,0,0,0,1,1,29
"Protein Science Kinesin Protocols","Humana Press","SpringerProtocols","978-0-89603-766-3","",0,0,1,4,0,20,1,0,0,1,0,0,27
"Protein Science Lipoprotein Protocols","Humana Press","SpringerProtocols","978-0-89603-420-4","",4,0,2,7,1,17,3,0,0,0,4,4,42
"Protein Science Macromolecular Crystallography Protocols: Volume 1, Preparation and Crystallization of Macromolecules","Humana Press","SpringerProtocols","978-1-58829-292-6","",14,0,2,20,3,13,6,0,0,0,0,0,58
"Protein Science Macromolecular Crystallography Protocols: Volume 2: Structure Determination","Humana Press","SpringerProtocols","978-1-58829-902-4","",23,0,2,0,4,17,28,1,2,1,6,9,93
"Protein Science Mass Spectrometry of Proteins and Peptides: Mass Spectrometry of Proteins and Peptides","Humana Press","SpringerProtocols","978-0-89603-609-3","",0,2,2,1,2,29,2,2,0,0,1,0,41
"Protein Science Mass Spectrometry of Proteins and Peptides: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-48-0","",0,0,26,10,0,35,1,0,2,8,8,2,92
"Protein Science Membrane Protein Protocols: Expression, Purification, and Characterization","Humana Press","SpringerProtocols","978-1-58829-124-0","",1,0,1,0,1,23,0,3,0,2,0,0,31
"Protein Science Methods of Protein Microcharacterization: A Practical Handbook","Humana Press","SpringerProtocols","978-0-89603-090-9","",0,1,3,0,0,16,0,0,0,0,1,0,21
"Protein Science New Protein Techniques","Humana Press","SpringerProtocols","978-0-89603-126-5","",0,0,0,0,1,40,0,0,1,38,1,0,81
"Protein Science Peptide Analysis Protocols","Humana Press","SpringerProtocols","978-0-89603-274-3","",0,0,0,0,0,17,0,0,0,0,0,0,17
"Protein Science Peptide Characterization and Application Protocols","Humana Press","SpringerProtocols","978-1-58829-550-7","",1,1,0,0,2,17,0,1,0,1,3,0,26
"Protein Science Peptide Microarrays: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-393-0","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Protein Science Peptide Nucleic Asids: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-976-6","",0,0,0,0,0,21,0,1,1,0,0,0,23
"Protein Science Peptide Research Protocols: Endothelin","Humana Press","SpringerProtocols","978-0-89603-993-3","",0,0,0,0,0,16,0,0,0,0,0,0,16
"Protein Science Peptide Synthesis Protocols","Humana Press","SpringerProtocols","978-0-89603-273-6","",11,4,4,13,31,13,1,1,27,0,2,0,107
"Protein Science Peptide-Based Drug Design","Humana Press","SpringerProtocols","978-1-58829-990-1","",1,2,4,0,0,16,0,4,1,1,2,2,33
"Protein Science Phospho-Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-833-1","",0,0,42,9,2,23,10,3,14,24,2,6,135
"Protein Science Post-translational Modifi cations of Proteins: Tools for Functional Proteomics","Humana Press","SpringerProtocols","978-1-58829-719-8","",1,5,3,0,34,0,2,0,0,5,2,1,53
"Protein Science Posttranslational Modifications of Proteins: Tools for Functional Proteomics","Humana Press","SpringerProtocols","978-0-89603-678-9","",0,1,0,0,1,21,0,0,0,0,0,0,23
"Protein Science Practical Protein Chromatography","Humana Press","SpringerProtocols","978-0-89603-213-2","",0,0,0,0,0,20,2,3,2,1,0,1,29
"Protein Science Prion Protein Protocols","Humana Press","SpringerProtocols","978-1-58829-897-3","",0,0,0,0,1,18,0,0,0,0,1,0,20
"Protein Science Protein Arrays: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-255-1","",0,0,0,0,1,23,0,0,1,1,0,1,27
"Protein Science Protein Biotechnology: Isolation, Characterization, and Stabilization","Humana Press","SpringerProtocols","978-0-89603-230-9","",0,3,2,0,1,16,5,1,1,0,1,0,30
"Protein Science Protein Blotting and Detection: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-73-2","",0,0,0,0,0,0,0,0,0,0,1,0,1
"Protein Science Protein Design: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-585-9","",0,0,0,0,2,14,0,0,1,13,0,0,30
"Protein Science Protein Engineering Protocols","Humana Press","SpringerProtocols","978-1-58829-072-4","",0,0,1,0,2,16,0,0,1,16,0,0,36
"Protein Science Protein Folding Protocols","Humana Press","SpringerProtocols","978-1-58829-622-1","",1,1,0,4,0,17,0,1,0,17,1,1,43
"Protein Science Protein Kinase C Protocols","Humana Press","SpringerProtocols","978-1-58829-068-7","",1,0,3,5,4,44,1,2,3,1,2,1,67
"Protein Science Protein Kinase Protocols","Humana Press","SpringerProtocols","978-0-89603-700-7","",0,1,0,0,3,23,4,1,1,1,0,1,35
"Protein Science Protein Lipidation Protocols","Humana Press","SpringerProtocols","978-0-89603-534-8","",0,0,0,0,0,17,0,0,0,0,1,0,18
"Protein Science Protein Misfolding and Disease: Principles and Protocols","Humana Press","SpringerProtocols","978-1-58829-065-6","",0,2,1,0,4,25,3,1,1,1,2,1,41
"Protein Science Protein NMR Techniques - 1","Humana Press","SpringerProtocols","978-0-89603-309-2","",0,1,2,3,2,16,0,0,0,10,3,6,43
"Protein Science Protein NMR Techniques - 2","Humana Press","SpringerProtocols","978-1-58829-246-9","",1,0,1,9,1,21,1,2,5,0,3,3,47
"Protein Science Protein Nanotechnology: Protocols, Instrumentation, and Applications","Humana Press","SpringerProtocols","978-1-58829-310-7","",2,0,0,3,4,20,0,0,0,0,1,0,30
"Protein Science Protein Networks and Pathway Analysis","Humana Press","SpringerProtocols","978-1-60761-174-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Protein Science Protein Phosphatase Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-468-6","",0,0,0,0,1,25,0,0,0,0,0,10,36
"Protein Science Protein Phosphatase Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-711-2","",0,1,0,0,0,28,1,0,0,0,6,4,40
"Protein Science Protein Purification Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-336-8","",0,3,5,1,2,37,1,1,0,2,1,0,53
"Protein Science Protein Purification Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-067-0","",1,8,5,46,2,46,48,1,13,7,2,4,183
"Protein Science Protein Sequencing Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-353-5","",1,3,5,1,0,31,0,0,0,3,1,0,45
"Protein Science Protein Sequencing Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-975-9","",1,3,2,7,0,34,3,2,0,2,2,0,56
"Protein Science Protein Stability and Folding: Theory and Practice","Humana Press","SpringerProtocols","978-0-89603-301-6","",8,0,1,0,8,18,1,5,3,1,0,0,45
"Protein Science Protein Structure Prediction","Humana Press","SpringerProtocols","978-1-58829-752-5","",0,0,0,1,13,0,0,1,0,0,0,0,15
"Protein Science Protein Structure Prediction: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-637-6","",1,0,0,0,1,19,0,6,0,0,0,0,27
"Protein Science Protein Structure, Stability, and Folding","Humana Press","SpringerProtocols","978-0-89603-682-6","",0,6,0,1,0,10,10,6,0,5,1,0,39
"Protein Science Protein Structure, Stability, and Interactions","Humana Press","SpringerProtocols","978-1-58829-954-3","",0,0,0,0,0,0,15,5,9,7,9,0,45
"Protein Science Protein Synthesis: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-397-9","",0,2,2,3,1,29,0,0,0,3,3,3,46
"Protein Science Protein Targeting Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-702-0","",3,1,0,0,0,61,6,1,2,31,2,1,108
"Protein Science Protein Targeting Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-487-7","",5,3,0,0,1,23,4,3,2,1,1,1,44
"Protein Science Protein and Peptide Analysis by Mass Spectrometry","Humana Press","SpringerProtocols","978-0-89603-345-0","",0,0,0,0,2,23,0,1,0,0,0,1,27
"Protein Science Protein-Ligand Interactions: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-372-5","",3,3,1,2,6,25,1,9,3,2,0,0,55
"Protein Science Protein-Protein Interactions: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-120-2","",10,4,3,7,10,38,7,10,5,4,2,15,115
"Protein Science Proteins","Humana Press","SpringerProtocols","978-0-89603-062-6","",0,2,4,4,54,0,19,5,3,47,3,16,157
"Protein Science Proteoglycan Protocols","Humana Press","SpringerProtocols","978-0-89603-759-5","",0,1,1,0,0,53,0,0,0,0,0,0,55
"Protein Science Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-156-1","",0,0,0,0,0,0,0,0,0,0,1,1,2
"Protein Science Recombinant Protein Protocols: Detection and Isolation","Humana Press","SpringerProtocols","978-0-89603-481-5","",0,0,1,0,0,25,1,1,3,2,0,1,34
"Protein Science The Protein Protocols Handbook - 1","Humana Press","SpringerProtocols","978-0-89603-338-2","",4,5,8,4,6,158,4,1,2,2,3,3,200
"Protein Science The Protein Protocols Handbook - 2","Humana Press","SpringerProtocols","978-0-89603-940-7","",1,7,5,2,4,167,5,1,1,5,4,2,204
"Protein Science The Proteomics Protocols Handbook","Humana Press","SpringerProtocols","978-1-58829-343-5","",3,3,11,4,2,74,0,2,3,3,2,1,108
"Protein Science Therapeutic Proteins: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-390-9","",0,1,2,2,2,35,3,0,1,0,0,0,46
"Protein Science Two-Hybrid Systems: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-832-5","",3,0,2,1,0,20,0,0,0,1,0,2,29
"Protein Science Viral Applications of Green Fluorescent Protein: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-87-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Protein Science Wnt Signaling: Pathway Methods and Mammalian Models","Humana Press","SpringerProtocols","978-1-58829-912-3","",0,0,25,1,3,29,6,0,0,24,0,1,89
"Protein Science Yeast Functional Genomics and Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-71-8","",0,0,0,0,0,0,0,0,0,0,0,0,0
